Name,VisitorReviews,BlogReviews,Rating,GuAddr,DongAddr
스타벅스 더북한산점,1458,1601,,은평구,진관동
스타벅스 경동1960점,2047,2124,4.45,동대문구,제기동
스타벅스 서울웨이브아트센터점,3376,1905,4.45,서초구,잠원동
스타벅스 망원한강공원점,3676,1016,4.46,마포구,망원동
스타벅스 서대문역점,2521,48,4.48,종로구,평동
스타벅스 파미에파크R점,6991,1086,4.61,서초구,반포동
스타벅스 별다방점,4095,885,4.52,중구,회현동2가
스타벅스 더종로R점,9920,1157,4.48,종로구,종로2가
스타벅스 강남구청정문점,2536,75,4.51,강남구,청담동
스타벅스 강남R점,6822,664,4.31,강남구,역삼동
스타벅스 서울역사점,213,195,4.43,용산구,동자동
스타벅스 한국프레스센터점,43099,174,4.56,중구,태평로1가
스타벅스 레스케이프호텔R점,1701,460,4.46,중구,회현동1가
스타벅스 환구단점,12867,511,4.48,중구,소공동
스타벅스 시청점,3437,149,4.44,중구,을지로1가
스타벅스 청량리역사점,4945,139,4.48,동대문구,전농동
스타벅스 강동역점,4937,113,4.5,강동구,천호동
스타벅스 잠실시그마타워점,5346,134,4.48,송파구,신천동
스타벅스 용산아이파크몰점,8012,269,4.45,용산구,한강로3가
스타벅스 마곡사이언스타워R점,5910,346,4.46,강서구,마곡동
스타벅스 여의도IFC몰(L1)R점,5736,176,4.49,영등포구,여의도동
스타벅스 스타필드코엑스몰R점,3112,336,4.49,강남구,삼성동
스타벅스 봉천역점,1930,70,4.48,관악구,봉천동
스타벅스 광화문점,7808,433,4.45,종로구,세종로
스타벅스 강남2점,4647,285,4.46,서초구,서초동
스타벅스 보라매공원R점,6706,287,4.47,동작구,신대방동
스타벅스 무교로점,23804,99,4.49,중구,무교동
스타벅스 용산역써밋R점,5528,387,4.48,용산구,한강로2가
스타벅스 서울대역점,6418,186,4.48,관악구,봉천동
스타벅스 왕십리역9번출구점,1016,48,4.45,성동구,행당동
스타벅스 청담사거리점,2835,197,4.47,강남구,청담동
스타벅스 삼청동점,2805,281,4.45,종로구,삼청동
스타벅스 더현대서울(B2)R점,5832,87,4.43,영등포구,여의도동
스타벅스 코엑스몰점,7418,155,4.48,강남구,삼성동
스타벅스 공덕점,4459,110,4.46,마포구,공덕동
스타벅스 성신여대점,5683,210,4.46,성북구,동선동1가
스타벅스리저브더현대서울,1088,30,4.4,영등포구,여의도동
스타벅스 종로3가점,3132,141,4.5,종로구,종로3가
스타벅스 신용산역점,4883,133,4.47,용산구,한강로2가
스타벅스 노량진역점,6310,182,4.52,동작구,노량진동
스타벅스 잠실대교남단R점,4814,265,4.46,송파구,신천동
스타벅스 코엑스아셈타워점,1173,25,4.56,강남구,삼성동
스타벅스 마곡나루공원점,2894,250,4.49,강서구,마곡동
스타벅스 역삼아레나빌딩점,2634,63,4.49,강남구,역삼동
스타벅스 구로고척점,2783,83,4.49,구로구,고척동
스타벅스 서울숲역점,5040,132,4.32,성동구,성수동1가
스타벅스 노원역점,10102,282,4.46,노원구,상계동
스타벅스 발산역점,5325,177,4.46,강서구,등촌동
스타벅스 압구정역점,2948,210,4.5,강남구,신사동
스타벅스 신림DT점,10544,257,4.44,관악구,신림동
스타벅스 혜화역점,4691,123,4.43,종로구,동숭동
스타벅스 사당역점,4588,98,4.45,동작구,사당동
스타벅스 상수역점,6943,242,4.5,마포구,상수동
스타벅스 영등포신길점,3581,102,4.47,영등포구,신길동
스타벅스 사가정역점,7833,247,4.45,중랑구,면목동
스타벅스 진관DT점,6325,148,4.45,은평구,진관동
스타벅스 이대R점,1940,179,4.49,서대문구,대현동
스타벅스 왕십리역점,2687,313,4.42,성동구,도선동
스타벅스 문정법원로R점,7968,183,4.49,송파구,문정동
스타벅스 잠실새내역점,4471,166,4.48,송파구,잠실동
스타벅스 김포공항DT점,4721,178,4.48,강서구,방화동
스타벅스 사당점,1011,54,4.42,관악구,남현동
스타벅스 몬테소리점,5075,182,4.49,서초구,서초동
스타벅스 홍제역점,4989,157,4.4,서대문구,홍제동
스타벅스 관악서울대입구R점,6817,121,4.49,관악구,봉천동
스타벅스 수유역점,6014,215,4.41,강북구,번동
스타벅스 압구정로데오역점,7425,161,4.49,강남구,청담동
스타벅스 까치산역점,4030,243,4.54,강서구,화곡동
스타벅스 도산사거리점,6656,192,4.37,강남구,논현동
스타벅스 광화문우체국점,1216,26,4.44,종로구,서린동
스타벅스 어린이대공원역점,6929,166,4.48,광진구,군자동
스타벅스 한강진역R점,4466,157,4.5,용산구,한남동
스타벅스 문정역점,3182,183,4.39,송파구,문정동
스타벅스 구파발사거리점,4697,141,4.53,은평구,진관동
스타벅스 송파KT점,4053,66,4.49,송파구,신천동
스타벅스 군자역점,3195,96,4.46,광진구,군자동
스타벅스 송파마천사거리DT점,7185,265,4.4,송파구,마천동
스타벅스 홍대역점,2897,91,4.46,마포구,동교동
스타벅스 목동트라팰리스점,7682,300,4.46,양천구,목동
스타벅스 강남교보타워R점,3982,58,4.48,서초구,서초동
스타벅스 디지털미디어시티역점,4436,207,4.48,마포구,상암동
스타벅스 창동이마트점,1313,49,4.48,도봉구,창동
스타벅스 양재강남빌딩R점,5266,137,4.56,강남구,도곡동
스타벅스 길음역점,4329,198,4.49,성북구,돈암동
스타벅스 신림점,3870,60,4.48,관악구,신림동
스타벅스 양원역점,4205,155,4.48,중랑구,망우동
스타벅스 청담스타R점,516,34,4.51,강남구,청담동
스타벅스 공릉역점,3176,725,4.44,노원구,공릉동
스타벅스 공릉DT점,6168,127,4.44,노원구,공릉동
스타벅스 강남구청역점,6309,176,4.42,강남구,논현동
스타벅스 올림픽대교북단점,3748,168,4.42,광진구,구의동
스타벅스 구로호텔점,3171,69,4.48,구로구,구로동
스타벅스 타임스퀘어R점,6443,233,4.49,영등포구,영등포동4가
스타벅스 한양대점,6212,197,4.42,성동구,행당동
스타벅스 북가좌DT점,3857,106,4.42,서대문구,북가좌동
스타벅스 낙성대DT점,2563,69,4.51,관악구,봉천동
스타벅스 홍대입구역사거리R점,6060,169,4.49,마포구,서교동
스타벅스 서울양평역점,6273,331,4.54,영등포구,양평동1가
스타벅스 뚝섬유원지역점,1700,64,4.59,광진구,자양동
스타벅스 목동10단지점,2173,70,4.5,양천구,신정동
스타벅스 강동구청DT점,5864,125,4.49,강동구,성내동
스타벅스 회기역사거리점,3965,168,4.47,동대문구,회기동
스타벅스 이수역점,4416,142,4.48,서초구,방배동
스타벅스 자양사거리점,4287,73,4.48,광진구,자양동
